ID,Site,Layer,Raw_material,Class,Blank,Technology,Core_classification,Cortex,Preservation,Volume,Surface,Length,Width,Thickness,File_list,Model_unit,#_of_polygons,Avg_edge_length(mm)/Resolution,Resolution_score,Scanner,Scan_software,Postprocessing_software,Coating
RB_1017,Bombrini,A1,Chert,Tool,Flake,Semi-cortical,NA,33-66%,Complete,1947.456543,1300.744373,32.79999924,23.29999924,6.599999905,RB_1017.ply,1 unit = 1mm,800000,0.062648,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_1018,Bombrini,A1,Chert,Core-Tool,Flake,Semi-cortical,Carinated,1-33%,Complete,3113.247559,1433.987989,24.89999962,29.79999924,13.30000019,RB_1018.ply,1 unit = 1mm,350416,0.103411,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_1019,Bombrini,A1,Chert,Tool,Flake,Semi-cortical,NA,1-33%,Complete,2461.895752,1376.268662,32.09999847,23.20000076,8.600000381,RB_1019.ply,1 unit = 1mm,364850,0.100853,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_1020,Bombrini,A1,Chert,Core,Other,Semi-cortical,Platform flake,1-33%,Other,5610.946777,2579.543817,29.60000038,38.5,13,RB_1020.ply,1 unit = 1mm,672762,0.100746,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_1021,Bombrini,A1,Chert,Core,Other,Other,Multi-platform,0%,Other,6394.330078,2210.593081,28.5,29.39999962,21.89999962,RB_1021.ply,1 unit = 1mm,584906,0.100654,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_1022,Bombrini,A1,Chert,Core,Other,Other,Shatter laminar,0%,Other,6891.458984,2326.080058,19.89999962,25,26.60000038,RB_1022.ply,1 unit = 1mm,626584,0.099775,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_1023,Bombrini,A1,Chert,Core-Tool,Flake,Undetermined,Wide-faced flat,0%,Undetermined,2360.431641,1075.956374,25.89999962,18.10000038,12.19999981,RB_1023.ply,1 unit = 1mm,276624,0.101402,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_1025,Bombrini,A1,Chert,Blank,Flake,Maintenance,NA,33-66%,Complete,2984.404053,1687.825127,37.90000153,23.10000038,8.399999619,RB_1025.ply,1 unit = 1mm,419790,0.102958,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_1026,Bombrini,A1,Chert,Tool,Flake,Undetermined,NA,0%,Undetermined,4329.47998,1729.962647,28.5,29.29999924,12.80000019,RB_1026.ply,1 unit = 1mm,457540,0.100493,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_1030,Bombrini,A1,Chert,Core,Other,Other,Shatter laminar,0%,Other,1071.243652,647.0567896,15.39999962,13.10000038,8.5,RB_1030.ply,1 unit = 1mm,168084,0.101311,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_1033,Bombrini,A1,Chert,Core,Other,Semi-cortical,Tested,33-66%,Other,11996.9834,3302.371425,27.89999962,22.70000076,43.29999924,RB_1033.ply,1 unit = 1mm,600000,0.117506,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_1034,Bombrini,A1,Chert,Tool,Flake,Semi-cortical,NA,1-33%,Complete,2676.457031,1222.370463,27.20000076,20.79999924,9.800000191,RB_1034.ply,1 unit = 1mm,323276,0.100515,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_1040,Bombrini,A1,Chert,Core,Other,Initialization,Initial laminar,66-99%,Other,3379.51709,1686.488151,19.70000076,43.90000153,12.19999981,RB_1040.ply,1 unit = 1mm,433352,0.101279,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_1045,Bombrini,A1,Chert,Tool,Flake,Semi-cortical,NA,1-33%,Distal,1577.133057,869.1761042,15.60000038,25.29999924,10.19999981,RB_1045.ply,1 unit = 1mm,217590,0.102328,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
