ID,Scanner,Spit,Raw_material,Class,Blank,Technology,Cortex,Preservation,Volume,Surface,Length,Width,Thickness,Core_classification
Ca_1,Artec.Spider,AU12,Chert,Core-Tool,Flake,Undetermined,0%,Complete,9704.902344,3268.629199,29.10000038,20.10000038,60.79999924,Carinated
Ca_2,Artec.Spider,AU12,Jasper,Core-Tool,Flake,Semi-cortical,1-33%,Undetermined,3555.448975,1460.136173,17.79999924,25.70000076,25.5,Carinated
Ca_3,Artec.Spider,AU12,Chert,Core-Tool,Flake,Undetermined,0%,Undetermined,2318.9021,1141.989158,12.5,24.79999924,18.20000076,Carinated
Ca_4,Artec.Spider,AU12,Jasper,Core-Tool,Other,Other,33-66%,Other,9328.821289,3128.00916,22.89999962,37.29999924,40.09999847,Carinated
Ca_5,Artec.Spider,AU12,Jasper,Core-Tool,Flake,Semi-cortical,1-33%,Complete,4639.98584,1857.956199,27.39999962,24.39999962,13.80000019,Carinated
Ca_6,Artec.Spider,AU12,Jasper,Tool,Flake,Optimal,0%,Complete,4248.004395,1878.601376,39.40000153,23.39999962,13.19999981,NA
Ca_7,Artec.Spider,AU12,Jasper,Core-Tool,Flake,Optimal,0%,Distal,8095.224121,2981.705474,13.69999981,33.59999847,42,Carinated
Ca_8,Artec.Spider,AU12,Jasper,Tool,Flake,Semi-cortical,1-33%,Complete,11279.41309,3881.448755,48.79999924,41.79999924,12.5,NA
Ca_9,Artec.Spider,AU12,Chert,Core-Tool,Flake,Undetermined,1-33%,Undetermined,2397.669189,1190.365406,12.19999981,20.89999962,28.10000038,Carinated
Ca_10,Artec.Spider,AU12,Chert,Core-Tool,Flake,Maintenance,0%,Undetermined,2063.922363,1079.74858,17.29999924,20.70000076,27,Carinated
Ca_11,Artec.Spider,AU12,Chert,Core-Tool,Flake,Optimal,0%,Undetermined,3217.052734,1391.778788,16,26,25.10000038,Carinated
Ca_12,Artec.Spider,AU12,Jasper,Core-Tool,Flake,Maintenance,1-33%,Complete,2895.134277,1439.156604,12.60000038,22.39999962,29.39999962,Carinated
Ca_13,Artec.Spider,AU12,Jasper,Tool,Flake,Maintenance,0%,Complete,1525.496704,821.1826363,19.60000038,23.39999962,8,NA
Ca_14,Artec.Spider,AU12,Jasper,Tool,Flake,Maintenance,0%,Complete,1344.233276,909.7140965,26.39999962,16.39999962,6.599999905,NA
Ca_15,Artec.Spider,AU12,Chert,Core-Tool,Flake,Maintenance,0%,Complete,4755.030273,2052.381101,14.80000019,31.29999924,36.59999847,Carinated
Ca_16,Artec.Spider,AU12,Chert,Tool,Flake,Maintenance,0%,Complete,2401.36377,1361.466978,33.79999924,19.89999962,15.19999981,NA
Ca_17,Artec.Spider,AU12,Jasper,Tool,Flake,Semi-cortical,1-33%,Complete,2213.66626,1169.059965,24.10000038,21.89999962,7.800000191,NA
