ID,Site,Layer,Raw_material,Class,Blank,Technology,Core_classification,Cortex,Preservation,Volume,Surface,Length,Width,Thickness,File_list,Model_unit,#_of_polygons,Avg_edge_length(mm)/Resolution,Resolution_score,Scanner,Scan_software,Postprocessing_software,Coating
CTC_1,Castelcivita,rsa',Fine-grained chert,Core,Other,Other,Semi-circumferential,0%,Other,22491.4,5305.13,59.5,36.09999847,26.70000076,CTC_1.ply,1 unit = 1mm,600000,0.151646,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_10,Castelcivita,rsa',Fine-grained chert,Core,Other,Other,Multi-platform,33-66%,Other,4184.02,1628.96,31.60000038,17.20000076,18.10000038,CTC_10.ply,1 unit = 1mm,434310,0.095818,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_100,Castelcivita,rsa',Fine-grained chert,Core-Tool,Other,Other,Carinated,1-33%,Other,10913.76,2761.13,24.39999962,36.40000153,28.89999962,CTC_100.ply,1 unit = 1mm,500000,0.115667,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_1000,Castelcivita,gic,Fine-grained chert,Core-Tool,Other,Other,Initial carinated,33-66%,Other,7064.75,2514.46,36.59999847,18.10000038,22.20000076,CTC_1000.ply,1 unit = 1mm,600000,0.104643,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_1002,Castelcivita,gic,Fine-grained chert,Core-Tool,Flake,Optimal,Carinated,0%,Other,3383.35,1702.22,16,24.39999962,33.90000153,CTC_1002.ply,1 unit = 1mm,300000,0.120272,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_1003,Castelcivita,gic,Radiolarite,Tool,Flake,Optimal,NA,0%,Complete,2679.1,1491.73,34.40000153,22.60000038,7.599999905,CTC_1003.ply,1 unit = 1mm,300000,0.112938,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_1004,Castelcivita,gic,Fine-grained chert,Core-Tool,Undetermined,Other,Carinated,0%,Other,270.1,284.75,10.10000038,13.80000019,7.5,CTC_1004.ply,1 unit = 1mm,74870,0.100833,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_1006,Castelcivita,gic,Fine-grained chert,Core,Other,Other,Semi-circumferential,0%,Other,7712.54,2629.17,27.89999962,22.29999924,33.59999847,CTC_1006.ply,1 unit = 1mm,300000,0.15026,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_1007,Castelcivita,gic,Fine-grained chert,Blank,Flake,Maintenance,NA,0%,Complete,4435.96,2172.98,55,26,13.30000019,CTC_1007.ply,1 unit = 1mm,300000,0.135786,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_1008,Castelcivita,gic,Fine-grained chert,Core-Tool,Flake,Optimal,Carinated,0%,Other,11304.57,3395.87,23.60000038,34.59999847,46.40000153,CTC_1008.ply,1 unit = 1mm,600000,0.117199,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_1009,Castelcivita,gic,Fine-grained chert,Core-Tool,Flake,Semi-cortical,Carinated,1-33%,Other,18362.89,4782.81,23.29999924,47.70000076,45.29999924,CTC_1009.ply,1 unit = 1mm,600000,0.138892,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_101,Castelcivita,rsa',Fine-grained chert,Core-Tool,Flake,Optimal,Carinated,0%,Undetermined,5374.57,1953.65,17.39999962,24.70000076,15.39999962,CTC_101.ply,1 unit = 1mm,500000,0.098155,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_1010,Castelcivita,gic,Fine-grained chert,Core-Tool,Flake,Semi-cortical,Initial carinated,33-66%,Other,12236.49,3452.59,25,36.70000076,44.79999924,CTC_1010.ply,1 unit = 1mm,600000,0.121442,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_1011,Castelcivita,gic,Fine-grained chert,Blank,Blade,Maintenance,NA,0%,Complete,3567.25,2024,49.09999847,20.79999924,10,CTC_1011.ply,1 unit = 1mm,300000,0.130752,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_1013,Castelcivita,gic,Fine-grained chert,Tool,Bladelet,Optimal,NA,0%,Complete,54.16,144.29,18.39999962,4,1.200000048,CTC_1013.ply,1 unit = 1mm,403266,0.030693,Ultra-detailed,Artec.Micro-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,Yes
CTC_1014,Castelcivita,gic,Fine-grained chert,Tool,Blade,Optimal,NA,0%,Complete,6100.74,2859.44,63.70000076,23.5,10.19999981,CTC_1014.ply,1 unit = 1mm,300000,0.1573,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_1015,Castelcivita,gic,Fine-grained chert,Core-Tool,Flake,Optimal,Initial carinated,0%,Other,4320.74,1775.08,19.39999962,30.70000076,22.89999962,CTC_1015.ply,1 unit = 1mm,300000,0.12288,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_1016,Castelcivita,gic,Fine-grained chert,Blank,Blade,Optimal,NA,0%,Complete,1439.8,1301.68,50.29999924,13.39999962,5.099999905,CTC_1016.ply,1 unit = 1mm,300000,0.102565,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_1018,Castelcivita,gic,Fine-grained chert,Core-Tool,Flake,Semi-cortical,Multi-platform carinated,33-66%,Other,7055.39,2593.5,19.20000076,37.29999924,29.5,CTC_1018.ply,1 unit = 1mm,300000,0.148881,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_1019,Castelcivita,gic,Fine-grained chert,Core,Other,Other,Bipolar,0%,Other,1251.71,973.87,35,14.39999962,7.5,CTC_1019.ply,1 unit = 1mm,254638,0.101001,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_102,Castelcivita,rsa',Coarse-grained chert,Tool,Blade,Optimal,NA,0%,Distal,1201.58,977.01,24.70000076,18.79999924,5.800000191,CTC_102.ply,1 unit = 1mm,226358,0.105415,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_1020,Castelcivita,gic,Fine-grained chert,Tool,Blade,Optimal,NA,0%,Distal,2033.6,1251.48,NA,21.70000076,7.599999905,CTC_1020.ply,1 unit = 1mm,300000,0.104323,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_1022,Castelcivita,gic,Fine-grained chert,Tool,Bladelet,Optimal,NA,0%,Complete,41.09,121.56,13,5.900000095,1.5,CTC_1022.ply,1 unit = 1mm,324814,0.031235,Ultra-detailed,Artec.Micro-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,Yes
