ID,unit,unit.extended,square,sub.square,raw.material,raw.material.extended,termal.alteration,frost.alteration,patina,cortex,cortex.position,cortical.surface,class,laminar.y.n,carinated,classification.1,classification.2,classification.3,classification.4,length,width,thickness,volume,surface,flaking.surface.length,flaking.surface.width,core.blank,blank.production,platforms.number,surfaces.number,flaking.surface.scars.count,platform.scars.count,scar.count.total,blade.removals.number,bladelet.removals.number,flake.removals.number,initial.preparation,back,flaking.surface,reduction.pattern,flaking.surface.profile,flaking.surface.2.profile,last.removal,second.last.removal,last.removal.second.surface,second.last.removal.second.surface,second.flaking.surface.length,second.flaking.surface.width,last.removal.length,last.removal.width,second.removal.length,second.removal.width,last.removal.length.second.surface,last.removal.width.second.surface,second.last.removal.length.second.surface,second.last.removal.width.second.surface,profile.last.removal,profile.second.removal,profile.last.removal.second.surface,profile.second.last.removal.second.surface,last.removal.orientation,second.removal.orientation,last.removal.orientation.second.surface,second.last.removal.orientation.second.surface,distal.end.last.removal,distal.end.second.removal,distal.end.last.removal.second.surface,distal.end.second.last.removal.second.surface,striking.angle.meshlab,striking.angle.visual,second.striking.angle.visual,striking.platform,platform.ridge.preparation,second.striking.platform,second.platform.ridge.preparation,flaking.surface.maintenance,maintenance.removal.location,lateral.maintenance,lateral.maintenance.orientation,core.axis,discard,VRM.generations.number.length.base,VRM.generations.number.length.platform,VRM.generations.number.width,VRM.generations.number.thickness,mesh
RF.b_223,A1,A1,67,NA,Maiolica,B1,NA,NA,NA,0,NA,0,Core-Tool,Yes,TRUE,Carinated,Carinated.burin,Burin carinated,Carinated,31.6,8.5,43.8,2977.631348,1757.298916,29.4,NA,Blade,Bladelet,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unidirectional,Convergent,NA,NA,Bladelet,NA,NA,NA,NA,NA,25.5,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,Reshaped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
RF.b_284,A1,A1,56,NA,Maiolica,B2-4,NA,NA,NA,0,NA,0,Core-Tool,Yes,TRUE,Narrow-sided,Burin core,Burin core,Platform,25.7,9.3,34.8,5508.197754,2208.787856,23.5,NA,Flake,Bladelet,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unidirectional,Sub-parallel,NA,NA,Bladelet,NA,NA,NA,NA,NA,12.2,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,Plain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
RF.b_286,A2,A2,50,NA,Maiolica,B2-4,NA,NA,NA,0%,NA,0,Core-Tool,Yes,TRUE,Carinated,Carinated.burin,Carinated,Carinated,13.2,25.39999962,39.8,1408.8927,959.7523057,13.1,NA,Blade,Bladelet,1,NA,NA,NA,6,NA,NA,NA,NA,NA,Unidirectional,Convergent,NA,NA,Bladelet,NA,NA,NA,NA,NA,19.2,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,Reshaped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
RF.b_302,A2,A2,45,NA,Maiolica,B2-4,NA,NA,NA,0%,NA,0,Core-Tool,Yes,TRUE,Carinated,Carinated.burin,Carinated,Carinated,19.3,7.9,38.1,1988.741333,1352.63614,14.5,NA,Blade,Bladelet,1,NA,NA,NA,8,NA,NA,NA,NA,NA,Unidirectional,Convergent,NA,NA,Bladelet,NA,NA,NA,NA,NA,13.3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,Plain,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,2,Yes
RF.b_324,A2,A2,69,NA,Maiolica,B2-4,NA,NA,NA,0%,NA,0,Core-Tool,Yes,TRUE,Carinated,Carinated.burin,Carinated,Carinated,28.9,18.2,64.1,8329.889648,3398.791826,12.5,NA,Blade,Bladelet,1,NA,NA,NA,4,NA,NA,NA,NA,NA,Unidirectional,Sub-parallel,NA,NA,Bladelet,NA,NA,NA,NA,NA,10.4,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,Plain,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,3,Yes
RF.b_354,A2,A2,59,NA,Maiolica,B2-4,NA,NA,NA,0%,NA,0,Core-Tool,Yes,TRUE,Carinated,Carinated.burin,Carinated,Carinated,15.5,15.8,27.2,1273.053589,885.454309,15.5,NA,Angular debris,Bladelet,1,NA,NA,NA,3,NA,NA,NA,NA,NA,Unidirectional,Sub-parallel,NA,NA,Bladelet,NA,NA,NA,NA,NA,15,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,Plain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
RF.b_6232,A2,A2,88,NA,Other,Eoc2,NA,NA,NA,1-33%,Lateral left,NA,Core-Tool,Yes,TRUE,Carinated,Carinated.endscraper,Carinated,Carinated,13.2,21.2,39.6,NA,NA,13.2,20.79999924,Blade,Bladelet,1,1,NA,NA,11,0,6,0,Undetermined,Undetermined,Unidirectional,Convergent,Slightly-Convex,NA,Bladelet,Bladelet,NA,NA,NA,NA,12.60000038,4.300000191,NA,NA,NA,NA,NA,NA,Slightly curved,NA,NA,NA,Axial,NA,NA,NA,Convergent,NA,NA,NA,55,55,NA,Plain,Abraded,NA,NA,NA,NA,NA,NA,"Lato corto, preferenza recul maggiore",Undetermined,NA,NA,NA,NA,No
RF.b_6243,A2,A2,97,NA,Other,Eoc2,NA,NA,NA,0,NA,NA,Core-Tool,Yes,TRUE,Carinated,Carinated.endscraper,Endscraper carinated,Carinated,17.6,22.1,61,NA,NA,17.6,NA,Blade,Bladelet,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unidirectional,Convergent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ventral face,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
RF.b_6294,A2,A2,86,NA,Maiolica,B2-4,NA,NA,NA,66-99%,NA,641.9,Core-Tool,Yes,TRUE,Carinated,Carinated.endscraper,Carinated,Carinated,16.3,33.2,43.2,13395.54102,3532.109112,13.8,NA,Flake,Bladelet,1,NA,25,0,25,NA,NA,NA,NA,NA,Unidirectional,Convergent,NA,NA,Bladelet,NA,NA,NA,NA,NA,11.9,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,Ventral face,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
RF.b_6295,A2,A2,96,d,Maiolica,B2-4,NA,NA,NA,66-99%,NA,929.1,Core-Tool,Yes,TRUE,Carinated,Carinated,Carinated,Carinated,18.3,36.5,41.9,11614.08984,3375.474977,15.1,NA,Flake,Bladelet,1,NA,15,0,15,NA,NA,NA,NA,NA,Unidirectional,Sub-parallel,NA,NA,Bladelet,NA,NA,NA,NA,NA,13.7,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,Ventral face,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
RF.b_6296,A2,A2,97,NA,Scaglia.Variegata,SV,NA,NA,NA,0,NA,NA,Core-Tool,Yes,TRUE,Carinated,Carinated.endscraper,Endscraper carinated,Carinated,16.4,34,NA,NA,NA,18.2,NA,Flake,Bladelet,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unidirectional,Convergent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ventral face,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
RF.b_6297,A2,A2,90,NA,Maiolica,B2-4,NA,NA,NA,1-33%,NA,NA,Core-Tool,Yes,TRUE,Carinated,Carinated.endscraper,Endscraper carinated,Carinated,13.9,32.8,56.8,NA,NA,13.8,NA,Flake,Bladelet,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unidirectional,Convergent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ventral face,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
RF.b_6299,A2,A2,136,NA,Maiolica,B2-4,NA,NA,NA,0,NA,NA,Core-Tool,Yes,TRUE,Carinated,Carinated.endscraper,Endscraper carinated,Carinated,17.4,28.6,29.3,NA,NA,20.5,NA,Flake,Bladelet,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unidirectional,Convergent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ventral face,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
RF.b_6302,A2,A2,107,NA,Maiolica,B2-4,NA,NA,NA,1-33%,NA,NA,Core-Tool,Yes,TRUE,Carinated,Carinated.endscraper,Endscraper carinated,Carinated,14.4,23.2,35.6,NA,NA,14.8,NA,Flake,Bladelet,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unidirectional,Convergent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ventral face,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
RF.b_6303,A2,A2,75,NA,Maiolica,B2-4,NA,NA,NA,1-33%,NA,202.1,Core-Tool,Yes,TRUE,Carinated,Carinated.endscraper,Carinated,Carinated,21,28.8,29.8,6790.408203,2150.126707,15.8,NA,Flake,Bladelet,1,NA,16,0,16,NA,NA,NA,NA,NA,Unidirectional,Sub-parallel,NA,NA,Bladelet,NA,NA,NA,NA,NA,16,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,Ventral face,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
RF.b_6361,A2R,A2R,138,NA,Maiolica,B2-4,NA,NA,NA,33-66%,NA,NA,Core-Tool,Yes,TRUE,Carinated,Carinated.endscraper,Endscraper carinated,Carinated,13.5,33.1,26.2,NA,NA,13.5,NA,Flake,Bladelet,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unidirectional,Convergent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ventral face,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
RF.b_9505,D3d.base,D3d base,69,NA,Maiolica,B2-4,NA,NA,NA,0,NA,0,Core-Tool,Yes,TRUE,Carinated,Carinated.burin,Burin carinated,Carinated,22.7,9.8,45.6,6492.045898,2819.114227,22.5,NA,Blade,Bladelet,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unidirectional,Convergent,NA,NA,Bladelet,NA,NA,NA,NA,NA,21,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,Reshaped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
RF.b_9801,D3b.alpha,D3b.alpha,50,NA,Maiolica,B2-4,NA,NA,NA,1-33%,NA,250.4,Core-Tool,Yes,TRUE,Carinated,Carinated.endscraper,Carinated,Carinated,21.4,33.9,55.8,12590.36719,4019.460512,21.4,NA,Flake,Bladelet,1,NA,18,0,18,NA,NA,NA,NA,NA,Unidirectional,Convergent,NA,NA,Bladelet,NA,NA,NA,NA,NA,19.9,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,Ventral face,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
