ID,volume,surface,mesh
RF.b_10019,92.3001709,175.1875123,Yes
RF.b_10034,72.37731934,165.7926894,Yes
RF.b_10047,132.8534393,281.5067658,Yes
RF.b_10059,45.40675735,145.6971423,Yes
RF.b_10064,204.2626648,383.0916002,Yes
RF.b_10067,328.2554016,485.290734,Yes
RF.b_10070,1187.195313,1081.947396,Yes
RF.b_10205,15357.49316,4607.663784,Yes
RF.b_10273,930.5310669,1021.832951,Yes
RF.b_10349,2576.025146,1677.783797,Yes
RF.b_10350,1089.069946,1243.313307,Yes
RF.b_10351,5755.404297,2951.509157,Yes
RF.b_10352,1410.081055,1250.234952,Yes
RF.b_10353,1318.103271,1163.989052,Yes
RF.b_10354,9576.226563,4108.412617,Yes
RF.b_10355,3869.290039,2568.493908,Yes
RF.b_10356,1122.7052,1234.945808,Yes
RF.b_10357,3401.704346,2089.196869,Yes
RF.b_10358,1604.740967,1477.682424,Yes
RF.b_10359,1341.140137,1145.575032,Yes
RF.b_10360,858.8133545,971.0444089,Yes
RF.b_10361,4970.542969,3128.680329,Yes
RF.b_10362,5799.224121,2959.60195,Yes
RF.b_10363,1003.856384,1230.362987,Yes
RF.b_10364,1772.869873,1427.635327,Yes
RF.b_10365,1319.566528,1251.217355,Yes
RF.b_10366,1098.866455,1065.406069,Yes
RF.b_10367,605.0528564,872.4444744,Yes
RF.b_10368,443.2580872,589.7104192,Yes
RF.b_10369,245.0405273,478.4667358,Yes
RF.b_10370,848.0958862,847.0526952,Yes
RF.b_10371,1099.308838,818.9513495,Yes
RF.b_10372,180.5470276,414.0601186,Yes
RF.b_10373,232.5545349,447.3784655,Yes
RF.b_10374,201.265976,331.8205899,Yes
RF.b_10375,431.9562988,591.4305192,Yes
RF.b_10376,139.7569733,281.8170157,Yes
RF.b_10377,59.54562759,152.7882871,Yes
RF.b_10378,59.03693008,172.8327951,Yes
RF.b_10379,111.9147797,213.0983635,Yes
RF.b_10380,86.71055603,209.1651872,Yes
RF.b_10381,68.46522522,138.7034912,Yes
RF.b_10384,1165.296631,948.7219439,Yes
RF.b_10387,1174.289917,995.9972042,Yes
RF.b_10388,734.767334,817.3861737,Yes
RF.b_10391,191.4861603,348.4723492,Yes
RF.b_10397,112.1357346,221.6558948,Yes
RF.b_104,2413.969482,2154.538072,Yes
RF.b_10401,268.3765564,475.5859085,Yes
RF.b_10402,156.0123444,325.8136349,Yes
RF.b_10403,479.2251892,564.4984007,Yes
RF.b_10404,190.7440491,422.7728263,Yes
RF.b_10405,336.6722107,399.5227905,Yes
RF.b_10406,169.2677002,281.2140242,Yes
RF.b_10407,78.85507202,194.7787924,Yes
RF.b_10408,487.7371826,508.7727676,Yes
RF.b_10409,399.3520813,517.9815123,Yes
RF.b_10410,107.0862808,278.5948425,Yes
RF.b_10411,182.6451721,345.338802,Yes
RF.b_10412,37.51010513,116.0715823,Yes
RF.b_10413,154.6144714,323.4185685,Yes
RF.b_10414,173.0577545,370.8320578,Yes
RF.b_10415,415.9244385,490.7986267,Yes
RF.b_10416,270.45755,545.9430162,Yes
RF.b_10417,539.3543701,649.9182571,Yes
RF.b_10418,454.4301147,659.4434163,Yes
RF.b_10419,589.0514526,810.2418514,Yes
RF.b_10420,824.5078735,764.2157471,Yes
RF.b_10421,737.9269409,841.9831488,Yes
RF.b_10422,675.7631226,737.4428248,Yes
RF.b_10423,541.2739258,721.5580584,Yes
RF.b_10424,904.159729,895.3929414,Yes
RF.b_10425,1022.005981,887.7465141,Yes
RF.b_10426,746.279541,1033.38799,Yes
RF.b_10428,659.8007813,823.0755454,Yes
RF.b_10429,93.40045166,235.6897914,Yes
RF.b_10430,117.6390228,237.1276956,Yes
RF.b_10431,131.5700684,264.8902278,Yes
RF.b_10432,55.07363892,148.6348345,Yes
RF.b_10433,189.8137207,315.9293809,Yes
RF.b_10434,382.7364197,601.168439,Yes
RF.b_10435,245.8381805,491.31742,Yes
RF.b_10436,300.6340027,455.8740937,Yes
RF.b_10437,217.1470184,352.6717314,Yes
RF.b_10438,127.8204803,211.2051036,Yes
RF.b_10439,116.2596817,212.9394492,Yes
RF.b_10440,331.5901794,538.4852413,Yes
RF.b_10441,331.5822144,469.9810791,Yes
RF.b_10442,528.7562256,598.2686567,Yes
RF.b_10443,135.5896301,324.4500528,Yes
RF.b_10444,126.8199692,284.5292001,Yes
RF.b_10445,90.18338776,201.4408312,Yes
RF.b_10446,608.1968384,642.0944119,Yes
RF.b_10447,77.10440063,198.581966,Yes
RF.b_10448,126.2867126,220.3503674,Yes
RF.b_10449,30.72018814,100.35429,Yes
RF.b_10450,477.8572388,756.2353391,Yes
RF.b_10451,595.9163208,755.0608185,Yes
RF.b_10452,547.1374512,550.0186873,Yes
RF.b_10453,1262.269897,1068.767113,Yes
RF.b_10454,2694.987793,1704.226283,Yes
RF.b_10455,1326.213013,1108.571581,Yes
RF.b_117,1558.55127,1318.117611,Yes
RF.b_1296,205.4304504,316.272771,Yes
RF.b_136,2151.420654,1428.497171,Yes
RF.b_1383,106.4478455,283.3467437,Yes
