"ID","Scanner","Layer","Raw_material","Class","Blank","Technology","Cortex","Preservation","Volume","Surface","Length","Width","Thickness","Core_classification"
"RB_344","Artec.Spider","A1","Chert","Core","Other","Other","0%","Other",2605.665771,1167.434102,25.3999996185303,17.1000003814697,12.1000003814697,"Bipolar"
"RB_345","Artec.Spider","A1","Chert","Tool","Blade","Maintenance","1-33%","Complete",16853.43164,6075.449806,89.8000030517578,34.9000015258789,14.1999998092651,NA
"RB_346","Artec.Spider","A1","Chert","Tool","Flake","Optimal","0%","Distal",4873.913574,2125.669991,NA,42.0999984741211,11.1000003814697,NA
"RB_347","Artec.Spider","A1","Chert","Tool","Flake","Initialization","66-99%","Complete",4610.561523,1792.924788,33.2000007629395,26.1000003814697,11.8999996185303,NA
"RB_349","Artec.Spider","A1","Chert","Tool","Flake","Maintenance","0%","Complete",2032.089844,1188.645417,34.5999984741211,18.2000007629395,7.59999990463257,NA
"RB_350","Artec.Spider","A1","Chert","Tool","Flake","Semi-cortical","1-33%","Complete",4091.886475,1609.32078,23.6000003814697,32.5999984741211,12.6999998092651,NA
"RB_351","Artec.Spider","A1","Chert","Tool","Blade","Maintenance","0%","Complete",3027.382813,1789.920347,50,19.7999992370605,8,NA
"RB_352","Artec.Spider","A1","Chert","Blank","Flake","Maintenance","1-33%","Complete",6229.114746,2666.756021,42.4000015258789,31.7000007629395,15,NA
"RB_361","Artec.Spider","A1","Chert","Tool","Flake","Optimal","0%","Complete",840.753479,587.0009387,17.2999992370605,15.3999996185303,6.90000009536743,NA
"RB_409","Artec.Spider","A1","Chert","Core-Tool","Flake","Semi-cortical","33-66%","Other",1753.108521,942.4136989,16.7999992370605,9.5,26.6000003814697,"Carinated"
"RB_437","Artec.Spider","A2","Chert","Tool","Flake","Other","0%","Undetermined",1123.749634,772.5960807,23.5,7.5,15.8000001907349,NA
"RB_438","Artec.Spider","A2","Chert","Tool","Flake","Semi-cortical","33-66%","Complete",1645.816284,1132.695777,32.5,18.3999996185303,7.90000009536743,NA
"RB_440","Artec.Spider","A2","Chert","Tool","Flake","Semi-cortical","1-33%","Distal",9014.158203,3289.646056,50.5,34.4000015258789,15.1000003814697,NA
"RB_443","Artec.Spider","A2","Chert","Tool","Flake","Optimal","0%","Distal",1462.643311,916.8534012,NA,22.7000007629395,8.60000038146973,NA
"RB_444","Artec.Spider","A2","Chert","Tool","Flake","Initialization","0%","Distal",2942.933594,1331.849385,21.7000007629395,27,13.8000001907349,NA
"RB_449","Artec.Spider","A2","Chert","Tool","Flake","Optimal","0%","Complete",7398.417969,2864.320484,45.5,31.3999996185303,13.8000001907349,NA
"RB_453","Artec.Spider","A2","Chert","Tool","Blade","Optimal","0%","Proximal",696.8223267,574.7589948,NA,13.8000001907349,6.09999990463257,NA
"RB_484","Artec.Spider","A2","Chert","Tool","Flake","Optimal","0%","Complete",2041.700439,1276.624502,34.7000007629395,19.5,8,NA
"RB_485","Artec.Spider","A2","Chert","Tool","Bladelet","Maintenance","0%","Complete",636.4799194,625.2710434,33.5999984741211,9.19999980926514,4.69999980926514,NA
"RB_486","Artec.Spider","A2","Chert","Blank","Bladelet","Initialization","1-33%","Complete",1791.476685,1366.644923,51.2999992370605,11.3999996185303,9.30000019073486,NA
"RB_558","Artec.Spider","A1","Chert","Core-Tool","Other","Semi-cortical","33-66%","Other",30753.66992,6468.583046,28.7999992370605,36.2999992370605,63.2000007629395,"Carinated"
"RB_559","Artec.Spider","A1","Chert","Core","Other","Other","0%","Other",19198.46094,4410.867148,48.7999992370605,38.2000007629395,27.1000003814697,"Multidirectional"
"RB_560","Artec.Spider","A1","Chert","Core","Other","Semi-cortical","1-33%","Other",31921.19922,6144.988409,36.7999992370605,31.6000003814697,45.7999992370605,"Semi-circumferential"
"RB_561","Artec.Spider","A1","Chert","Core","Other","Semi-cortical","1-33%","Other",22038.07227,4587.596141,41.9000015258789,37.4000015258789,35.2000007629395,"Semi-circumferential"
"RB_562","Artec.Spider","A1","Chert","Core","Other","Semi-cortical","1-33%","Other",10776.55859,2935.602394,30.3999996185303,22.2999992370605,31.3999996185303,"Multi-platform"
